4	8	1	5	9	% mean class accuracy (train set)	3	7	2	6	0	
 8.2582e-01	 6.8127e-01	 9.2302e-01	 8.0369e-01	 7.4265e-01	 8.2101e+01	 7.7733e-01	 8.1090e-01	 8.8436e-01	 7.4838e-01	 8.0335e-01	
 9.2022e-01	 8.5332e-01	 9.4546e-01	 9.0206e-01	 8.7701e-01	 9.1105e+01	 8.9078e-01	 9.1046e-01	 9.4010e-01	 8.7672e-01	 9.1734e-01	
 9.3457e-01	 8.8741e-01	 9.5412e-01	 9.2212e-01	 9.0728e-01	 9.2857e+01	 9.1385e-01	 9.2690e-01	 9.4946e-01	 8.9977e-01	 9.3472e-01	
 9.4905e-01	 9.0684e-01	 9.6256e-01	 9.3330e-01	 9.2380e-01	 9.4133e+01	 9.2750e-01	 9.3744e-01	 9.5853e-01	 9.2212e-01	 9.4665e-01	
 9.5414e-01	 9.2408e-01	 9.6624e-01	 9.4566e-01	 9.3282e-01	 9.4978e+01	 9.4057e-01	 9.4549e-01	 9.6467e-01	 9.3312e-01	 9.5311e-01	
 9.5897e-01	 9.3518e-01	 9.7208e-01	 9.5466e-01	 9.4591e-01	 9.5790e+01	 9.4904e-01	 9.5728e-01	 9.7034e-01	 9.4430e-01	 9.6059e-01	
 9.7010e-01	 9.4252e-01	 9.7583e-01	 9.5830e-01	 9.5321e-01	 9.6433e+01	 9.5881e-01	 9.6372e-01	 9.7478e-01	 9.5268e-01	 9.6584e-01	
 9.7198e-01	 9.5342e-01	 9.8009e-01	 9.6672e-01	 9.5900e-01	 9.6967e+01	 9.6528e-01	 9.6979e-01	 9.7799e-01	 9.5722e-01	 9.7171e-01	
 9.8150e-01	 9.6353e-01	 9.8088e-01	 9.7341e-01	 9.6630e-01	 9.7567e+01	 9.7446e-01	 9.7462e-01	 9.8054e-01	 9.6962e-01	 9.7656e-01	
 9.8485e-01	 9.7245e-01	 9.8550e-01	 9.8024e-01	 9.7446e-01	 9.8148e+01	 9.7999e-01	 9.7909e-01	 9.8696e-01	 9.7503e-01	 9.8363e-01	
 9.8820e-01	 9.8057e-01	 9.8903e-01	 9.8576e-01	 9.8219e-01	 9.8590e+01	 9.8270e-01	 9.8445e-01	 9.8923e-01	 9.8428e-01	 9.8464e-01	
 9.9263e-01	 9.8494e-01	 9.9242e-01	 9.9056e-01	 9.8540e-01	 9.8980e+01	 9.8847e-01	 9.8660e-01	 9.9206e-01	 9.8708e-01	 9.9050e-01	
 9.9423e-01	 9.9029e-01	 9.9430e-01	 9.9244e-01	 9.9056e-01	 9.9262e+01	 9.9211e-01	 9.9106e-01	 9.9414e-01	 9.9022e-01	 9.9212e-01	
 9.9638e-01	 9.9346e-01	 9.9661e-01	 9.9666e-01	 9.9420e-01	 9.9566e+01	 9.9541e-01	 9.9500e-01	 9.9622e-01	 9.9529e-01	 9.9454e-01	
 9.9826e-01	 9.9742e-01	 9.9812e-01	 9.9884e-01	 9.9657e-01	 9.9787e+01	 9.9788e-01	 9.9750e-01	 9.9802e-01	 9.9808e-01	 9.9677e-01	
